EXTERNAL_ID,TITLE,CENTER_NAME
SAMD00008623,Salmonella enterica serovar Typhimurium GST-92,BioSample
SAMD00008622,Salmonella enterica serovar Typhimurium GST-106,BioSample
SAMD00008621,Salmonella enterica serovar Typhimurium GST-108,BioSample
SAMD00008620,Salmonella enterica serovar Typhimurium GST-204,BioSample
SAMD00003791,Salmonella enterica serovar Typhimurium Jp241H,BioSample
SAMD00003784,Salmonella enterica serovar Typhimurium Jp242H,BioSample
SAMD00003793,Salmonella enterica serovar Typhimurium Jp243H,BioSample
SAMD00003788,Salmonella enterica serovar Typhimurium Jp244H,BioSample
SAMD00003790,Salmonella enterica serovar Typhimurium Jp245H,BioSample
SAMD00003787,Salmonella enterica serovar Typhimurium Jp246A,BioSample
SAMD00003789,Salmonella enterica serovar Typhimurium Jp247A,BioSample
SAMD00003785,Salmonella enterica serovar Typhimurium Jp248A,BioSample
SAMD00003792,Salmonella enterica serovar Typhimurium Jp249A,BioSample
SAMD00003786,Salmonella enterica serovar Typhimurium Jp250A,BioSample
SAMD00013775,Salmonella enterica serovar Typhimurium L-3553,NIID
SAMD00013776,Salmonella enterica serovar Typhimurium 12-1,NIID
SAMD00013772,Salmonella enterica serovar Typhimurium 12-14,NIID
SAMD00013771,Salmonella enterica serovar Typhimurium 12-19,NIID
SAMD00013773,Salmonella enterica serovar Typhimurium 25-6,NIID
SAMD00013774,Salmonella enterica serovar Typhimurium 25-11,NIID
SAMD00013770,Salmonella enterica serovar Typhimurium 25-17,NIID
SAMEA781383,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA781381,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA781382,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA854772,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA2041940,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777989,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777987,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777988,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777991,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777992,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777966,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777967,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777968,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777969,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777970,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777977,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777990,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777995,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777994,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777993,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777986,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777985,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777972,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777973,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777974,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777971,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777965,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777984,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA811674,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777978,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777979,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777980,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777981,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777982,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777983,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777962,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777961,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777963,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777976,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA777975,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019677,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019658,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019648,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019623,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019670,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019646,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019635,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019676,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019653,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019639,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019624,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019634,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019674,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019659,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019632,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019650,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019631,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
SAMEA1019629,Salmonella enterica subsp. enterica serovar Typhimurium,The Wellcome Trust Sanger Institute
